System                                  Dist         X         Y         Z
Proxima Centauri                       4.247     2.945    -3.056    -0.143
Barnard's star                         5.963     4.958     2.980     1.449
Luhman 16 A                            6.503     1.697    -6.249     0.600
WISE J085510.83-071442.5               7.532    -3.967    -5.664     2.985
Wolf 359                               7.856    -1.916    -3.938     6.522
Lalande 21185                          8.305    -3.439    -0.308     7.553
Sirius A                               8.659    -5.809    -6.280    -1.338
Luyten 726-8 A                         8.817    -2.171     0.171    -8.544
Ross 154                               9.706     9.365     1.873    -1.733
Ross 248                              10.306    -3.370     9.265    -3.003
Epsilon Eridani                       10.502    -6.753    -1.917    -7.811
Lacaille 9352                         10.724     4.352     0.388    -9.794
Ross 128                              11.008     0.014    -5.577     9.490
EZ Aquarii A                          11.109     4.123     4.432    -9.315
61 Cygni A                            11.404     1.516    11.244    -1.156
Procyon A                             11.437    -9.270    -6.183     2.577
HD 173739                             11.491     0.130    10.478     4.716
Groombridge 34 A                      11.619    -4.949     9.849    -3.677
DX Cancri                             11.680    -9.428    -2.885     6.262
Epsilon Indi A                        11.867     7.259    -3.203    -8.825
Tau Ceti                              11.906    -3.369     0.408   -11.412
Luyten 372-58                         11.984    -2.249    -6.869    -9.559
YZ Ceti                               12.122    -2.040     1.192   -11.890
Luyten's star                         12.349   -10.262    -6.499     2.224
Teegarden's star                      12.497    -9.391     3.369    -7.526
Kapteyn's star                        12.831    -3.460    -9.787    -7.542
Lacaille 8760                         12.947     9.252     0.631    -9.036
DENIS J184504.9-635747 A              13.064    10.530    -5.713    -5.211
Kruger 60 A                           13.078    -3.316    12.651    -0.001
DENIS J104814.7-395606                13.193     1.904   -12.468     3.872
Ross 614 A                            13.424   -11.202    -7.255    -1.447
WISEP J072227.27-054029.9             13.433   -10.027    -8.883     1.000
Wolf 1061                             14.050    12.845     0.752     5.643
van Maanen's Star                     14.072    -3.996     6.424   -11.865
Wolf 424 A                            14.112     1.448    -4.264    13.375
HD 225213                             14.175     3.311    -0.977   -13.748
2MASS J04292568+3806095               14.355   -13.630     4.128    -1.799
TZ Arietis                            14.578    -8.480     5.369   -10.573
BD+68 946                             14.840    -1.883    12.448     7.856
CD-46 11540                           14.849    14.102    -4.310    -1.752
LHS 292                               14.871    -1.749   -11.036     9.813
Luyten 145-141                        15.123     6.625   -13.574    -0.753
V1581 Cygni A                         15.203     2.905    14.752     2.250
Ross 780                              15.239     4.743     6.071   -13.148
Luyten 143-23                         15.759     4.928   -14.958    -0.555
2MASS J23400761+4625080               15.794    -5.307    14.325    -4.008
LHS 2                                 15.806    -0.258     5.986   -14.627
DENIS J025503.3-470049                15.877    -1.350    -8.144   -13.563
Groombridge 1618                      15.886    -9.453     2.380    12.543
